Scientific_names,Original_names
Acalypha diversifolia,Acalypha diversifolia
Aegiphila aculeifera,Aegiphila aculeifera
Aegiphila alba,Aegiphila alba
Aegiphila bogotensis,Aegiphila bogotensis
Aegiphila lopez-palacii var. pubescens,Aegiphila lopez-palacii var. pubescens
Aegiphila novogranatensis,Aegiphila novogranatensis
Aegiphila monticola,Aegiphila monticola
Aequatorium jamesonii,Aequatorium jamesonii
Agouticarpa williamsii,Agouticarpa williamsii
Aiouea formicaria,Aiouea formicaria
Aiouea palaciosii,Aiouea palaciosii
Alchornea grandis,Alchornea grandis
Alchornea bogotensis,Alchornea bogotensis
Alchornea triplinervia,Alchornea triplinervia
Alchornea glandulosa,Alchornea glandulosa
Allophylus dodsonii,Allophylus dodsonii
Allophylus excelsus,Allophylus excelsus
Allophylus floribundus,Allophylus floribundus
Alsophila erinacea,Alsophila erinacea
Alsophila firma,Alsophila firma
Alsophila incana,Alsophila incana
Alsophila conjugata,Alsophila conjugata
Alsophila cuspidata,Alsophila cuspidata
Andira taurotesticulata,Andira taurotesticulata
Aniba magnifica,Aniba magnifica
Annona deceptrix,Annona deceptrix
Annona mucosa,Annona mucosa
Annona quinduensis,Annona quinduensis
Aphelandra acanthus,Aphelandra acanthus
Axinaea lehmannii,Axinaea lehmannii
Axinaea macrophylla,Axinaea macrophylla
Axinaea quitensis,Axinaea quitensis
Bactris gasipaes var. chichagui,Bactris gasipaes var. chichagui
Banara glauca,Banara glauca
Banara regia,Banara regia
Beilschmiedia alloiophylla,Beilschmiedia alloiophylla
Beilschmiedia tovarensis,Beilschmiedia tovarensis
Beilschmiedia pendula,Beilschmiedia pendula
Billia rosea,Billia rosea
Blakea eriocalyx,Blakea eriocalyx
Blakea rotundifolia,Blakea rotundifolia
Boehmeria caudata,Boehmeria caudata
Boehmeria fallax,Boehmeria fallax
Brachyotum gleasonii,Brachyotum gleasonii
Brosimum guianense,Brosimum guianense
Brosimum utile subsp. occidentale,Brosimum utile subsp. occidentale
Brownea multijuga,Brownea multijuga
Browneopsis macrofoliolata,Browneopsis macrofoliolata
Brunellia acostae,Brunellia acostae
Brunellia comocladifolia,Brunellia comocladifolia
Brunellia tomentosa,Brunellia tomentosa
Bunchosia argentea,Bunchosia argentea
Calatola costaricensis,Calatola costaricensis
Capparidastrum tafallanum,Capparidastrum tafallanum
Carapa alticola,Carapa alticola
Carapa megistocarpa,Carapa megistocarpa
Carica microcarpa,Carica microcarpa
Casearia arborea,Casearia arborea
Casearia cajambrensis,Casearia cajambrensis
Casearia quinduensis,Casearia quinduensis
Casearia sylvestris,Casearia sylvestris
Castilla elastica,Castilla elastica
Cavendishia bracteata,Cavendishia bracteata
Cecropia bullata,Cecropia bullata
Cecropia gabrielis,Cecropia gabrielis
Cecropia obtusifolia,Cecropia obtusifolia
Cecropia hispidissima,Cecropia hispidissima
Cedrela montana,Cedrela montana
Ceroxylon echinulatum,Ceroxylon echinulatum
Cestrum humboldtii,Cestrum humboldtii
Cestrum jaramillanum,Cestrum jaramillanum
Cestrum megalophyllum,Cestrum megalophyllum
Cestrum petiolare,Cestrum petiolare
Chamaedorea linearis,Chamaedorea linearis
Chrysochlamys dependens,Chrysochlamys dependens
Chrysochlamys colombiana,Chrysochlamys colombiana
Chrysophyllum colombianum,Chrysophyllum colombianum
Cinchona pubescens,Cinchona pubescens
Citharexylum montanum,Citharexylum montanum
Citharexylum montanum var. chimborazense,Citharexylum montanum var. chimborazense
Citronella ilicifolia,Citronella ilicifolia
Citronella incarum,Citronella incarum
Clarisia racemosa,Clarisia racemosa
Clavija laplanadae,Clavija laplanadae
Cleome anomala,Cleome anomala
Clethra obovata,Clethra obovata
Clethra ovalifolia,Clethra ovalifolia
Clusia alata,Clusia alata
Clusia multiflora,Clusia multiflora
Clusia crenata,Clusia crenata
Clusia dixonii,Clusia dixonii
Clusia magnifolia,Clusia magnifolia
Coccoloba obovata,Coccoloba obovata
Compsoneura mutisii,Compsoneura mutisii
Conostegia centronioides var. centronioides,Conostegia centronioides var. centronioides
Conostegia montana,Conostegia montana
Cordia hebeclada,Cordia hebeclada
Cordiera longicaudata,Cordiera longicaudata
Cornus disciflora,Cornus disciflora
Cornus peruviana,Cornus peruviana
Coussapoa contorta,Coussapoa contorta
Coussapoa herthae,Coussapoa herthae
Coussarea latifolia,Coussarea latifolia
Critoniopsis occidentalis,Critoniopsis occidentalis
Croton floccosus,Croton floccosus
Croton tessmannii,Croton tessmannii
Cuatresia cuspidata,Cuatresia cuspidata
Cupania cinerea,Cupania cinerea
Cupania livida,Cupania livida
Cyathea brunnescens,Cyathea brunnescens
Cyathea caracasana,Cyathea caracasana
Cyathea catacampta,Cyathea catacampta
Cyathea multiflora,Cyathea multiflora
Cyathea pallescens,Cyathea pallescens
Cyathea corallifera,Cyathea corallifera
Cybianthus humilis,Cybianthus humilis
Dacryodes cupularis,Dacryodes cupularis
Daphnopsis equatorialis,Daphnopsis equatorialis
