Original_list_name ,Accepted_name_TROPICOS
Cleome anomala,Andinocleome anomala
Tovomita weddelliana,Arawakia weddelliana
Boehmeria fallax,Boehmeria ulmifolia
Brunellia comocladifolia,Brunellia comocladiifolia
Tovomita croatii,Chrysochlamys croatii
Nectandra purpurea,Damburneya purpurea
Conostegia centronioides,Miconia conocentronioides
Conostegia montana,Miconia cooperi
Ossaea macrophylla,Miconia solearis
Maytenus macrocarpa,Monteverdia macrocarpa
Licania durifolia,Moquilea durifolia
Oreopanax floribundus,Oreopanax incisus
Morus insignis,Paratrophis insignis
Styrax cordatus,Styrax pavonii
Trema integerrima,Trema micrantha
