gbifID,institutionCode,recordedBy,eventDate,year,month,day,Country_name,decimalLongitude,decimalLatitude,elevation,family,genus,species,acceptedScientificName,occurrenceRemarks,dynamicProperties,fieldNotes,image_url,reproductiveCondition,Year_interval,acceptedScientificName_splevel,n_records_GBIF,Nrecords_interval,OrigDB_vs_GBIF,FieldNotes,Binned_latitude,Binned_longitude
3762896504,ASU,,2010-02-04T00:00:00,2010.0,2.0,4.0,Peru,-75.5773,-10.18729,1040.0,Annonaceae,Annona,Annona mucosa,Annona mucosa Jacq.,maybe young leaves?; Tree,,,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP14/CSP14080.jpg,,1970-2010,Annona mucosa,617.0,>500,OriginalDB,maybe young leaves?; Tree; nan,"(-20, 0]","(-80, -60]"
3762890565,ASU,,2010-01-08T00:00:00,2010.0,1.0,8.0,Costa Rica,-83.33975,8.41421,50.0,Myrtaceae,Myrcia,Myrcia splendens,Myrcia splendens (Sw.) DC.,Tree,,,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP16/CSP16189_lg.jpg,,1970-2010,Myrcia splendens,6407.0,>500,OriginalDB,Tree; nan,"(0, 20]","(-100, -80]"
3762893679,ASU,,2010-11-15T00:00:00,2010.0,11.0,15.0,Ecuador,-78.56722,-0.12407,2385.0,Rubiaceae,Cinchona,Cinchona pubescens,Cinchona pubescens Vahl,Tree,,,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP21/CSP21289_lg.jpg,,1970-2010,Cinchona pubescens,143.0,101-500,OriginalDB,Tree; nan,"(-20, 0]","(-80, -60]"
3762878302,ASU,,2008-07-12T00:00:00,2008.0,7.0,12.0,Peru,-69.48632,-12.96773,213.0,Moraceae,Ficus,Ficus americana,Ficus americana subsp. guianensis (Desv. ex Ham.) C.C. Berg,Tree,,,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP01/CSP01051_lg.jpg,,1970-2010,Ficus americana,430.0,101-500,OriginalDB,Tree; nan,"(-20, 0]","(-80, -60]"
3762875518,ASU,,2010-02-09T00:00:00,2010.0,2.0,9.0,Peru,-75.5773,-10.18729,1040.0,Annonaceae,Annona,Annona mucosa,Annona mucosa Jacq.,Tree,,,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP14/CSP14385.jpg,,1970-2010,Annona mucosa,617.0,>500,OriginalDB,Tree; nan,"(-20, 0]","(-80, -60]"
3762875866,ASU,,2014-08-05T00:00:00,2014.0,8.0,5.0,Peru,-70.1028,-12.5652,260.0,Myrtaceae,Myrcia,Myrcia splendens,Myrcia splendens (Sw.) DC.,Tree,,,,,>2011,Myrcia splendens,6407.0,>500,OriginalDB,Tree; nan,"(-20, 0]","(-80, -60]"
3758936384,UNEMAT,,1983-10-19T00:00:00,1983.0,10.0,19.0,Brazil,-47.9,-15.583333,,Myrtaceae,Myrcia,Myrcia splendens,Myrcia splendens (Sw.) DC.,Na margem da mata.[HABITAT=Mata Ciliar Seca],,,,,1970-2010,Myrcia splendens,6407.0,>500,OriginalDB,Na margem da mata.[HABITAT=Mata Ciliar Seca]; nan,"(-20, 0]","(-60, -40]"
3758936442,UNEMAT,,1999-12-03T00:00:00,1999.0,12.0,3.0,Brazil,-55.25,-13.166667,,Myrtaceae,Myrcia,Myrcia splendens,Myrcia splendens (Sw.) DC.,[HABITAT=Borda de Floresta Ombrófila Aberta Aluvial.],,,,,1970-2010,Myrcia splendens,6407.0,>500,OriginalDB,[HABITAT=Borda de Floresta Ombrófila Aberta Aluvial.]; nan,"(-20, 0]","(-60, -40]"
3758936561,UNEMAT,,1997-06-29T00:00:00,1997.0,6.0,29.0,Brazil,-51.783333,-12.833333,350.0,Myrtaceae,Myrcia,Myrcia splendens,Myrcia splendens (Sw.) DC.,Comum. Relevo plano.[HABITAT=Cerradão],,,,,1970-2010,Myrcia splendens,6407.0,>500,OriginalDB,Comum. Relevo plano.[HABITAT=Cerradão]; nan,"(-20, 0]","(-60, -40]"
3758936455,UNEMAT,,1999-08-12T00:00:00,1999.0,8.0,12.0,Brazil,-53.448889,-13.169444,,Myrtaceae,Myrcia,Myrcia splendens,Myrcia splendens (Sw.) DC.,"Casca cinza, esfoliante.[HABITAT=Borda de Floresta Ombrófila Aberta]",,,,,1970-2010,Myrcia splendens,6407.0,>500,OriginalDB,"Casca cinza, esfoliante.[HABITAT=Borda de Floresta Ombrófila Aberta]; nan","(-20, 0]","(-60, -40]"
