0
Cavendishia bracteata
Cestrum megalophyllum
Erythroxylum macrophyllum
Casearia sylvestris
Inga ruiziana
Inga laurina
Guarea kunthiana
Casearia arborea
Ficus citrifolia
Myrcia splendens
Eugenia florida
Myrcia neesiana
Guapira opposita
Inga punctata
Escallonia myrtilloides
Croton tessmannii
Hedyosmum goudotianum
Gaiadendron punctatum
Dicksonia sellowiana
Alchornea triplinervia
Acalypha diversifolia
Alsophila cuspidata
Miconia theaezans
Meriania tomentosa
Boehmeria caudata
Cecropia obtusifolia
Alsophila erinacea
Annona mucosa
Guarea macrophylla
Ficus americana
Ficus maxima
Hieronyma oblonga
Alchornea glandulosa
Gordonia fruticosa
Myrsine coriacea
Garcinia macrophylla
Inga cinnamomea
Heliocarpus americanus
Guarea glabra
Garcinia madruno
Faramea occidentalis
Brosimum guianense
Iriartea deltoidea
Myriocarpa stipitata
Lozanella enantiophylla
Eschweilera awaensis
Handroanthus chrysanthus
Cyathea brunnescens
Cyathea caracasana
Endlicheria formosa
Cornus disciflora
Cinchona pubescens
Alsophila firma
Clusia alata
Hieronyma duquei
Hieronyma macrocarpa
Billia rosea
Cestrum humboldtii
Agouticarpa williamsii
Aphelandra acanthus
Aiouea palaciosii
Coussarea latifolia
Faramea oblongifolia
Faramea calyptrata
Annona deceptrix
Miconia explicita
Guatteria microcarpa
Cordiera longicaudata
Duroia laevis
Elaeagia utilis
Huertea glandulosa
Helicostylis tovarensis
Lozania mutisiana
Gloeospermum grandifolium
Cordia hebeclada
Ficus mutisii
Ficus macbridei
Inga leiocalycina
Escallonia paniculata
Freziera canescens
Beilschmiedia pendula
Cedrela montana
Cupania cinerea
Freziera verrucosa
Geissanthus ambigua
Clarisia racemosa
Miconia cooperi
Graffenrieda cucullata
Miconia gracilis
Miconia punctata
Miconia bracteolata
Miconia latifolia
Miconia ochracea
Miconia papillosa
Meriania maxima
Miconia corymbiformis
Miconia goniostigma
Axinaea macrophylla
Axinaea lehmannii
Miconia brachycalyx
Miconia rivetii
Delostoma integrifolium
Brunellia comocladiifolia
Erythrina edulis
Clusia multiflora
Banara glauca
Geissanthus andinus
Clethra ovalifolia
Hedyosmum cumbalense
Meliosma violacea
Paratrophis insignis
Inga acuminata
Calatola costaricensis
Naucleopsis capirensis
Cuatresia cuspidata
Hedyosmum scaberrimum
Ficus cuatrecasasiana
Discophora guianensis
Blakea eriocalyx
Chrysophyllum colombianum
Aegiphila alba
Miconia brevitheca
Cestrum petiolare
Inga pruriens
Inga densiflora
Inga nobilis
Myrcianthes rhopaloides
Geonoma undata
Coccoloba obovata
Bunchosia argentea
Brunellia tomentosa
Annona quinduensis
Inga spectabilis
Eschweilera caudiculata
Andira taurotesticulata
Allophylus excelsus
Cupania livida
Inga acrocephala
Inga chartacea
Inga coruscans
Inga acreana
Inga carinata
Aegiphila novogranatensis
Inga glomeriflora
Licaria applanata
Ceroxylon echinulatum
Hieronyma asperifolia
Allophylus floribundus
Cyathea multiflora
Cornus peruviana
Henriettea verrucosa
Browneopsis macrofoliolata
Chrysochlamys colombiana
Coussapoa herthae
Ficus tonduzii
Beilschmiedia alloiophylla
Grias peruviana
Compsoneura mutisii
Chamaedorea linearis
Clusia crenata
Ficus cervantesiana
Meliosma vasquezii
Hedyosmum scabrum
Citronella incarum
Hedyosmum cuatrecazanum
Casearia quinduensis
Meliosma frondosa
Inga fendleriana
Alchornea grandis
Dacryodes cupularis
Dendropanax macrophyllus
Ficus dulciaria
Blakea rotundifolia
Castilla elastica
Inga multicaulis
Beilschmiedia tovarensis
Cecropia gabrielis
Myrsine andina
Myrcianthes orthostemon
Juglans neotropica
Ficus brevibracteata
Inga lallensis
Monteverdia macrocarpa
Geissanthus longistamineus
Matisia castano
Brunellia acostae
Critoniopsis occidentalis
Myrcianthes hallii
Eugenia crassimarginata
Brownea multijuga
Aegiphila bogotensis
Ficus caldasiana
Haydenoxylon gentryi
Gustavia johnclarkii
Andinocleome anomala
Dussia lehmannii
Chrysochlamys dependens
Bactris gasipaes
Miconia dapsiliflora
Carica microcarpa
Meliosma occidentalis
Eschweilera rimbachii
Alchornea bogotensis
Clusia magnifolia
Hirtella mutisii
Ilex pernervata
Freziera reticulata
Monnina pseudopilosa
Alsophila incana
Guatteria goudotiana
Casearia cajambrensis
Dendrophorbium lloense
Guatteria venosa
Moquilea durifolia
Guettarda sanblasensis
Coussapoa contorta
Hedyosmum luteynii
Dendropanax macrocarpus
Faramea parvibractea
Cybianthus humilis
Boehmeria ulmifolia
Ficus trianae
Faramea langlassei
Matisia grandifolia
Inga silanchensis
Cyathea pallescens
Clusia dixonii
Matisia giacomettoi
Iochroma calycinum
Jacaratia chocoensis
Aiouea formicaria
Ilex andicola
Cecropia hispidissima
Meliosma echeverryana
Guarea cartaguenya
Cecropia bullata
Ficus lacunata
Citharexylum montanum
Cyathea catacampta
Axinaea quitensis
Hedyosmum anisodorum
Banara regia
Brosimum utile
Aequatorium jamesonii
Inga alatocarpa
Geissanthus pichinchae
Trema micrantha
Ocotea cernua
Virola sebifera
Pourouma bicolor
Sapium laurifolium
Rhodostemonodaphne kunthiana
Poulsenia armata
Simarouba amara
Triplaris cumingiana
Sapium glandulosum
Symplocos fuliginosa
Persea pseudofasciculata
Sapium stylare
Turpinia occidentalis
Viburnum triphyllum
Tetrorchidium euryphyllum
Ocotea insularis
Salacia cordata
Ochroma pyramidale
Ruagea glabra
Prestoea acuminata
Sapium marmieri
Palicourea andrei
Persea rigens
Panopsis megistosperma
Nectandra longifolia
Symplocos quitensis
Virola elongata
Damburneya purpurea
Saurauia prainiana
Nectandra acutifolia
Vismia lateriflora
Rauvolfia leptophylla
Spirotheca awadendron
Urera caracasana
Prunus huantensis
Verbesina latisquama
Otoba gordoniifolia
Vernonanthura patens
Saurauia herthae
Naucleopsis naga
Ocotea floribunda
Sorocea trophoides
Zanthoxylum formiciferum
Ossaea micrantha
Otoba novogranatensis
Pleurothyrium giganthum
Nectandra membranacea
Oreopanax incisus
Ocotea cuneifolia
Saurauia tomentosa
Vallea stipularis
Trichospermum galeottii
Arawakia weddelliana
Siparuna pilosolepidota
Ocotea benthamiana
Ruagea tomentosa
Oreopanax palamophyllus
Trichilia pallida
Nectandra subbullata
Palicourea amethystina
Palicourea guianensis
Styrax heterotrichus
Symplocos subandina
Weinmannia balbisiana
Saurauia brachybotrys
Roupala montana
Piper crassinervium
Xanthosoma sagittifolium
Piper obliquum
Piper aequale
Pentagonia macrophylla
Palicourea demissa
Siparuna lepidota
Siparuna echinata
Oreopanax grandifolius
Stylogyne ardisioides
Tetrorchidium andinum
Sloanea medusula
Piper imperiale
Piper carpunya
Virola reidii
Siparuna aspera
Tabernaemontana markgrafiana
Pleurothyrium glabritepalum
Prestoea decurrens
Weinmannia pinnata
Solanum lepidotum
Tournefortia fuliginosa
Richeria dressleri
Weinmannia auriculata
Nectandra obtusata
Psychotria hazenii
Saurauia bullosa
Piper nubigenum
Piper barbatum
Ruagea pubescens
Viburnum pichinchense
Palicourea apicata
Psychotria brachiata
Tapirira rubrinervis
Miconia conocentronioides
Siparuna multiflora
Theobroma gileri
Solanum hypaleurotrichum
Solanum cucullatum
Protium ecuadorense
Palicourea pyramidalis
Pittoniotis rotata
Symplocos fimbriata
Sphaeropteris quindiuensis
Verbesina arborea
Weinmannia lentiscifolia
Zanthoxylum quinduense
Zanthoxylum verrucosum
Miconia solearis
Saurauia pseudostrigillosa
Ocotea rugosa
Sessea vestita
Palicourea acanthacea
Piper hylophilum
Zanthoxylum bonifazieae
Ocotea oreophila
Ocotea heterochroma
Styrax pavonii
Sessea crassivenosa
Weinmannia glomerata
Pholidostachys dactyloides
Socratea rostrata
Wettinia oxycarpa
Rhodostemonodaphne cyclops
Verbesina lloensis
Wettinia quinaria
Phytelephas aequatorialis
Chrysochlamys croatii
Palicourea palenquensis
Varronia cylindristachya
