,0
0,Cavendishia bracteata (Ruiz & Pav. ex A.St.-Hil.) Hoerold
1,Cestrum megalophyllum Dunal
2,Erythroxylum macrophyllum Cav.
3,Casearia sylvestris Sw.
4,Inga ruiziana G.Don
5,Inga laurina (Sw.) Willd.
6,Guarea kunthiana A.Juss.
7,Casearia arborea (Rich.) Urb.
8,Ficus citrifolia Mill.
9,Myrcia splendens (Sw.) DC.
10,Eugenia florida DC.
11,Myrcia neesiana DC.
12,Guapira opposita (Vell.) Reitz
13,Inga punctata Willd.
14,Escallonia myrtilloides L.fil.
15,Croton tessmannii Mansf.
16,Hedyosmum goudotianum Solms
17,Gaiadendron punctatum (Ruiz & Pav.) G.Don
18,Dicksonia sellowiana (C.Presl) Hook.
19,Alchornea triplinervia (Spreng.) Müll.Arg.
20,Acalypha diversifolia Jacq.
21,Alsophila cuspidata (Kunze) D.S.Conant
22,Miconia theizans (Bonpl.) Cogn.
23,Meriania tomentosa (Cogn.) Wurdack
24,Boehmeria caudata Sw.
25,Cecropia obtusifolia Bertol.
26,Alsophila erinacea (H.Karst.) D.S.Conant
27,Annona mucosa Jacq.
28,Guarea macrophylla subsp. tuberculata (Vell.) Penn.
29,Ficus americana subsp. guianensis (Desv.) C.C.Berg
30,Ficus maxima Mill.
31,Hieronyma oblonga (Tul.) Müll.Arg.
32,Alchornea glandulosa subsp. iricurana (Casar.) Secco
33,Guarea macrophylla M.Vahl
34,Gordonia fruticosa (Schrad.) H.Keng
35,Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult.
36,Garcinia macrophylla Mart.
37,Inga cinnamomea Spruce ex Benth.
38,Heliocarpus americanus L.
39,Guarea glabra Vahl
40,Garcinia madruno (Kunth) Hammel
41,Faramea occidentalis (L.) A.Rich.
42,Brosimum guianense (Aubl.) Huber ex Ducke
43,Iriartea deltoidea Ruiz & Pav.
44,Myriocarpa stipitata Benth.
45,Alchornea glandulosa Poepp.
46,Lozanella enantiophylla (Donn.Sm.) Killip & Morton
47,Eschweilera awaensis S.A.Mori & Cornejo
48,Handroanthus chrysanthus subsp. chrysanthus
49,Cyathea brunnescens (Barrington) R.C.Moran
50,Guarea macrophylla subsp. spiciflora (A.Juss.) T.D.Penn.
51,Cyathea caracasana (Klotzsch) Domin
52,Endlicheria formosa A.C.Sm.
53,Cornus disciflora Moc. & Sessé ex DC.
54,Cinchona pubescens Vahl
55,Alsophila firma (Baker) D.S.Conant
56,Clusia alata Planch. & Triana
57,Hieronyma duquei Cuatrec.
58,Hieronyma macrocarpa Müll.Arg.
59,Billia rosea (Planch. & Linden) C.Ulloa & P.Jørg.
60,Cestrum humboldtii Francey
61,Agouticarpa williamsii (Standl.) C.H.Perss.
62,Aphelandra acanthus Nees
63,Aiouea palaciosii (van der Werff) R.Rohde
64,Coussarea latifolia Standl.
65,Faramea oblongifolia Standl.
