id,institutionCode,recordedBy,eventDate,year,month,day,country,decimalLongitude,decimalLatitude,verbatimElevation,family,genus,specificEpithet,scientificName,scientificNameAuthorship,occurrenceRemarks,dynamicProperties,verbatimAttributes,references,reproductiveCondition
81150,INABIOEC,Thomas Bernard Croat,3/23/2006,2006.0,3.0,23.0,Ecuador,-78.6775,-0.2942,2977 m,Acanthaceae,Aphelandra,acanthus,Aphelandra acanthus,Nees,,,Shrub 3 m tall; flower yellow.,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=81150,
81298,INABIOEC,Aída Álvarez,5/1/1992,1992.0,5.0,1.0,Ecuador,-77.91666,-0.68333,2050 m,Acanthaceae,Aphelandra,acanthus,Aphelandra acanthus,Nees,,,"Arbusto de 2 m de altura. Hojas simples, opuestas, con espinas en el borde. Flores tubulares, amarillas.",https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=81298,
146256,INABIOEC,Diego Reyes,10/26/2008,2008.0,10.0,26.0,Ecuador,-77.5833,0.4833,2600 m,Acanthaceae,Aphelandra,acanthus,Aphelandra acanthus,Nees,,,Arbusto de hasta 3 m de alto. Flores amarillas.,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=146256,
150837,INABIOEC,H. Anton,1/12/1997,1997.0,1.0,12.0,Ecuador,-78.1667,0.7667,2200 m,Acanthaceae,Aphelandra,acanthus,Aphelandra acanthus,Nees,,,Arbusto de 3 m de alto. Flores amarillas.,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=150837,
151015,INABIOEC,R. Pennington,1/15/1997,1997.0,1.0,15.0,Ecuador,-79.2833,-4.0,2275-2380 m,Acanthaceae,Aphelandra,acanthus,Aphelandra acanthus,Nees,,,"Steep slope, sandy soil. Shrub 4m. Inflorescence axis yellowish green. Flowers yellow. Anther connective yellow.",https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=151015,
5525,INABIOEC,Calaway Homer Dodson,1979-07-12,1979.0,7.0,12.0,Ecuador,-79.23,-0.311944,420 m,Actinidiaceae,Saurauia,brachybotrys,Saurauia brachybotrys,Turcz.,,,"Tree to 8 m along river bank. Petals white, stamens yellow.",https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=5525,
7035,INABIOEC,Fernando Nicolalde-Morejón,1999-10-19,1999.0,10.0,19.0,Ecuador,-78.6305,0.0283,1960 m,Actinidiaceae,Saurauia,brachybotrys,Saurauia brachybotrys,Turcz.,,,Árbol de 6 m. Flores blancas. Estambres amarillas.,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=7035,
8051,INABIOEC,Milton Tirado,1994-08-18,1994.0,8.0,18.0,Ecuador,-78.1833333,0.8333333,2000 - 2400 m,Actinidiaceae,Saurauia,brachybotrys,Saurauia brachybotrys,Turcz.,,,"Árbol de 18-20 m de altura. Flores blancas. Nombre común: ""moquillo"".",https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=8051,
139050,INABIOEC,Laurence Joseph Dorr,1988-11-14,1988.0,11.0,14.0,Ecuador,-78.1,0.9,,Actinidiaceae,Saurauia,brachybotrys,Saurauia brachybotrys,Turcz.,,,"Tree, 5 m tall petal white. Anthers yellow. Ovary light green.",https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=139050,
139051,INABIOEC,Efraín Liborio Freire Mayorga,2007-05-07,2007.0,5.0,7.0,Ecuador,-78.8715,0.1701,1182 m,Actinidiaceae,Saurauia,brachybotrys,Saurauia brachybotrys,Turcz.,,,"Árbol con inflorescencia apical, flores blancas",https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=139051,
139052,INABIOEC,H. Anton,1997-02-09,1997.0,2.0,9.0,Ecuador,-78.1667,0.7667,2200 m,Actinidiaceae,Saurauia,brachybotrys,Saurauia brachybotrys,Turcz.,,,Arbusto de 3 m de alto. Flores blancas.,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=139052,
139053,INABIOEC,Ana Mariscal,2006-07-23,2006.0,7.0,23.0,Ecuador,-78.508872,0.222181,2300 m,Actinidiaceae,Saurauia,brachybotrys,Saurauia brachybotrys,Turcz.,,,"Arbusto en pendiente de 2 m de alto y 3 cm de DAP. Peciolos rojizos, pelos insurtos morados. Flores pétalos blancos, estambres amarillos.",https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=139053,
5376,INABIOEC,S. Bibiana Cuamacás,1993-08-28,1993.0,8.0,28.0,Ecuador,-78.4333,0.3333,2200 - 3200 m,Actinidiaceae,Saurauia,bullosa,Saurauia bullosa,Wawra,,,"Árbol de 7 m de altura, 10 cm DAP. Corteza externa café-rojiza, 0.3 cm de espesor; interna crema. Hojas pubescentes de color rojizo. Hojas jóvenes de color morado. Flores con pétalos blancos, estambres amarillos. Nombre común: moquillo.",https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=5376,
6701,INABIOEC,Lino Mora,1998-07-16,1998.0,7.0,16.0,Ecuador,-77.71666,0.58333,3200 m,Actinidiaceae,Saurauia,bullosa,Saurauia bullosa,Wawra,,,Árbol de 12.0 cm DAP y 12 m de alto. Tallo pubescente ferrugineo con espinas Hojas grandes asperas. Flores en dicasio Frutos en Bayas de 2 cm.,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=6701,
7223,INABIOEC,Walter Armando Palacios Cuenca,1991-04-04,1991.0,4.0,4.0,Ecuador,-77.7,0.6,3200 m,Actinidiaceae,Saurauia,bullosa,Saurauia bullosa,Wawra,,,Árbol de 5 m de altura; 10 cm DAP. Yemas jóvenes de las hojas y envés de hojas jóvenes castaños. Pétalos blancos; estambres amarillos. Frutos comestibles. Nombre común: moquillo,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=7223,
7853,INABIOEC,Daniel Rubio,1990-08-08,1990.0,8.0,8.0,Ecuador,-78.0,0.33333,3500 m,Actinidiaceae,Saurauia,bullosa,Saurauia bullosa,Wawra,,,Árbolito de 5 m de altura; 8 cm DAP. Inflorescencia en botón verde oliva.,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=7853,
7999,INABIOEC,Galo A. Tipaz,1989-04-02,1989.0,4.0,2.0,Ecuador,-77.7,0.5833,3200 - 3500 m,Actinidiaceae,Saurauia,bullosa,Saurauia bullosa,Wawra,,,"Nombre vulgar: moquillo Árbol de 10-15 m; 30 cm DAP. Corteza externa rosada con fisuras, 0.5-1 cm de grosor; corteza interna lisa, amarilla babosa. Hojas ásperas con pelos rojizos. Flores con pétalos blancos. Frutos comestibles. Sabor picante baboso al masticar las hojas. Usos: soleras, leñas.",https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=7999,
4274,INABIOEC,Rick Bensman,0000-00-00,1990.0,0.0,0.0,Ecuador,-77.667036,-1.043996,450 m,Actinidiaceae,Saurauia,herthae,Saurauia herthae,Sleumer,,,"Primary forest tree, with white flowers. 3.5 meters high.",https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=4274,
5007,INABIOEC,John Littner Clark,1998-03-20,1998.0,3.0,20.0,Ecuador,-79.73333,0.35,500 m,Actinidiaceae,Saurauia,herthae,Saurauia herthae,Sleumer,,,"Tree, 6 m tall. Perianth white. Stamens yellow. Quadrat 5; Tree 4.",https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=5007,
6843,INABIOEC,David A. Neill,1986-01-04,1986.0,1.0,4.0,Ecuador,-77.6,-1.0667,400 m,Actinidiaceae,Saurauia,herthae,Saurauia herthae,Sleumer,,,"Árbol de 15 m. Nombre común: lacao o cara caspi. La corteza se desprende en tiras largas, y se la utiliza para hacer canastas. Inventario forestal, Parcela 5 Bloque 5 #5.",https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=6843,
7056,INABIOEC,Tamara Núñez,1997-06-10,1997.0,6.0,10.0,Ecuador,-79.73333,0.35,540 m,Actinidiaceae,Saurauia,herthae,Saurauia herthae,Sleumer,,,"Árbol de 6 m de altura. Hojas rugosas. Inflorescencias blancas en racimos, estambres amarillos.",https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=7056,
7130,INABIOEC,Inés Padilla,1994-12-02,1994.0,12.0,2.0,Ecuador,-78.1333,-2.25,1070 m,Actinidiaceae,Saurauia,herthae,Saurauia herthae,Sleumer,,,"Árbol de 4m de altura. Flores blancas-cremas, anteras amarillas. Frutos verdosos.",https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=7130,
7209,INABIOEC,Walter Armando Palacios Cuenca,0000-00-00,1995.0,1.0,0.0,Ecuador,-78.95,-4.0833,960 m,Actinidiaceae,Saurauia,herthae,Saurauia herthae,Sleumer,,,"Árbol de 4 m de altura. Tépalos exteriores verdes, e interiores blancos.",https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=7209,
7222,INABIOEC,Walter Armando Palacios Cuenca,1991-10-29,1991.0,10.0,29.0,Ecuador,-79.0167,-4.0667,1500 - 1700 m,Actinidiaceae,Saurauia,herthae,Saurauia herthae,Sleumer,,,Árbol de 5 m de altura; 6 cm DAP. Copa densa. Corola crema. Anteras amarillas.,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=7222,
8085,INABIOEC,Germán Toasa,1999-02-12,1999.0,2.0,12.0,Ecuador,-78.2478,-2.2206,1540 m,Actinidiaceae,Saurauia,herthae,Saurauia herthae,Sleumer,,,"Arbusto 4 y 7.5 cm, frutos verdes.",https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=8085,
8380,INABIOEC,Jorge Zaruma,1985-12-12,1985.0,12.0,12.0,Ecuador,-77.8333,-1.05,600 m,Actinidiaceae,Saurauia,herthae,Saurauia herthae,Sleumer,,,"Árbolito de 4 m, frutos verdosos pubes- centes, creciendo junto a quebrada en el bosque intervenido.",https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=8380,
139060,INABIOEC,Grady Linder Webster,1990-07-31,1990.0,7.0,31.0,Ecuador,-77.7833,-0.6333,1600 m,Actinidiaceae,Saurauia,herthae,Saurauia herthae,Sleumer,,,Common arborescent shrub 2-5 m high; corolla white.,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=139060,
139061,INABIOEC,Nestor Saltos,2004-01-05,2004.0,1.0,5.0,Ecuador,-79.2175,-1.2783,575 m-785 m,Actinidiaceae,Saurauia,herthae,Saurauia herthae,Sleumer,,,"Árbol de 8 metros de altura; con un diametro de 15,4 cm; tronco cilíndrico, inflorescencia color crema; hojas con vellosidades. Árbol 2,21.",https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=139061,
139062,INABIOEC,Ana Mariscal,2010-12-20,2010.0,12.0,20.0,Ecuador,-78.5286,0.2342,1654 m,Actinidiaceae,Saurauia,herthae,Saurauia herthae,Sleumer,,,"Árbol de 4 m. flores blancas, estambres amarillos.",https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=139062,
140069,INABIOEC,Efraín Liborio Freire Mayorga,2015-12-08,2015.0,12.0,8.0,Ecuador,-79.720278,-3.576944,2332 m,Actinidiaceae,Saurauia,herthae,Saurauia herthae,Sleumer,,,"Árbol, 5 m de alto, frutos verdes.",https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=140069,
3933,INABIOEC,Aída Álvarez,1992-04-30,1992.0,4.0,30.0,Ecuador,-77.91666,-0.68333,2250 m,Actinidiaceae,Saurauia,prainiana,Saurauia prainiana,Buscal.,,,"Arbusto de 2 m de altura. Hojas simples decusadas. Flores blancas pentámeras. Usos: frutos comestibles, alimento para pavas de monte. Nombre común: moquillo.",https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=3933,
