gbifID,hcnqID,institutionCode,recordedBy,eventDate,year,month,day,country,decimalLongitude,decimalLatitude,elevation,family,genus,species,acceptedScientificName,scientificNameAuthorship,image_url,reproductiveCondition,occurrenceRemarks,dynamicProperties,fieldNotes,FieldNotes
,81150,INABIOEC,Thomas Bernard Croat,3/23/2006,2006.0,3.0,23.0,Ecuador,-78.6775,-0.2942,2977 m,Acanthaceae,Aphelandra,acanthus,Aphelandra acanthus,Nees,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=81150,,,,Shrub 3 m tall; flower yellow.,Shrub 3 m tall; flower yellow.
,81298,INABIOEC,Aída Álvarez,5/1/1992,1992.0,5.0,1.0,Ecuador,-77.91666,-0.68333,2050 m,Acanthaceae,Aphelandra,acanthus,Aphelandra acanthus,Nees,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=81298,,,,"Arbusto de 2 m de altura. Hojas simples, opuestas, con espinas en el borde. Flores tubulares, amarillas.","Arbusto de 2 m de altura. Hojas simples, opuestas, con espinas en el borde. Flores tubulares, amarillas."
,146256,INABIOEC,Diego Reyes,10/26/2008,2008.0,10.0,26.0,Ecuador,-77.5833,0.4833,2600 m,Acanthaceae,Aphelandra,acanthus,Aphelandra acanthus,Nees,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=146256,,,,Arbusto de hasta 3 m de alto. Flores amarillas.,Arbusto de hasta 3 m de alto. Flores amarillas.
,150837,INABIOEC,H. Anton,1/12/1997,1997.0,1.0,12.0,Ecuador,-78.1667,0.7667,2200 m,Acanthaceae,Aphelandra,acanthus,Aphelandra acanthus,Nees,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=150837,,,,Arbusto de 3 m de alto. Flores amarillas.,Arbusto de 3 m de alto. Flores amarillas.
,151015,INABIOEC,R. Pennington,1/15/1997,1997.0,1.0,15.0,Ecuador,-79.2833,-4.0,2275-2380 m,Acanthaceae,Aphelandra,acanthus,Aphelandra acanthus,Nees,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=151015,,,,"Steep slope, sandy soil. Shrub 4m. Inflorescence axis yellowish green. Flowers yellow. Anther connective yellow.","Steep slope, sandy soil. Shrub 4m. Inflorescence axis yellowish green. Flowers yellow. Anther connective yellow."
,5525,INABIOEC,Calaway Homer Dodson,1979-07-12,1979.0,7.0,12.0,Ecuador,-79.23,-0.311944,420 m,Actinidiaceae,Saurauia,brachybotrys,Saurauia brachybotrys,Turcz.,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=5525,,,,"Tree to 8 m along river bank. Petals white, stamens yellow.","Tree to 8 m along river bank. Petals white, stamens yellow."
,7035,INABIOEC,Fernando Nicolalde-Morejón,1999-10-19,1999.0,10.0,19.0,Ecuador,-78.6305,0.0283,1960 m,Actinidiaceae,Saurauia,brachybotrys,Saurauia brachybotrys,Turcz.,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=7035,,,,Árbol de 6 m. Flores blancas. Estambres amarillas.,Árbol de 6 m. Flores blancas. Estambres amarillas.
,8051,INABIOEC,Milton Tirado,1994-08-18,1994.0,8.0,18.0,Ecuador,-78.1833333,0.8333333,2000 - 2400 m,Actinidiaceae,Saurauia,brachybotrys,Saurauia brachybotrys,Turcz.,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=8051,,,,"Árbol de 18-20 m de altura. Flores blancas. Nombre común: ""moquillo"".","Árbol de 18-20 m de altura. Flores blancas. Nombre común: ""moquillo""."
,139050,INABIOEC,Laurence Joseph Dorr,1988-11-14,1988.0,11.0,14.0,Ecuador,-78.1,0.9,,Actinidiaceae,Saurauia,brachybotrys,Saurauia brachybotrys,Turcz.,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=139050,,,,"Tree, 5 m tall petal white. Anthers yellow. Ovary light green.","Tree, 5 m tall petal white. Anthers yellow. Ovary light green."
,139051,INABIOEC,Efraín Liborio Freire Mayorga,2007-05-07,2007.0,5.0,7.0,Ecuador,-78.8715,0.1701,1182 m,Actinidiaceae,Saurauia,brachybotrys,Saurauia brachybotrys,Turcz.,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=139051,,,,"Árbol con inflorescencia apical, flores blancas","Árbol con inflorescencia apical, flores blancas"
,139052,INABIOEC,H. Anton,1997-02-09,1997.0,2.0,9.0,Ecuador,-78.1667,0.7667,2200 m,Actinidiaceae,Saurauia,brachybotrys,Saurauia brachybotrys,Turcz.,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=139052,,,,Arbusto de 3 m de alto. Flores blancas.,Arbusto de 3 m de alto. Flores blancas.
,139053,INABIOEC,Ana Mariscal,2006-07-23,2006.0,7.0,23.0,Ecuador,-78.508872,0.222181,2300 m,Actinidiaceae,Saurauia,brachybotrys,Saurauia brachybotrys,Turcz.,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=139053,,,,"Arbusto en pendiente de 2 m de alto y 3 cm de DAP. Peciolos rojizos, pelos insurtos morados. Flores pétalos blancos, estambres amarillos.","Arbusto en pendiente de 2 m de alto y 3 cm de DAP. Peciolos rojizos, pelos insurtos morados. Flores pétalos blancos, estambres amarillos."
,5376,INABIOEC,S. Bibiana Cuamacás,1993-08-28,1993.0,8.0,28.0,Ecuador,-78.4333,0.3333,2200 - 3200 m,Actinidiaceae,Saurauia,bullosa,Saurauia bullosa,Wawra,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=5376,,,,"Árbol de 7 m de altura, 10 cm DAP. Corteza externa café-rojiza, 0.3 cm de espesor; interna crema. Hojas pubescentes de color rojizo. Hojas jóvenes de color morado. Flores con pétalos blancos, estambres amarillos. Nombre común: moquillo.","Árbol de 7 m de altura, 10 cm DAP. Corteza externa café-rojiza, 0.3 cm de espesor; interna crema. Hojas pubescentes de color rojizo. Hojas jóvenes de color morado. Flores con pétalos blancos, estambres amarillos. Nombre común: moquillo."
,6701,INABIOEC,Lino Mora,1998-07-16,1998.0,7.0,16.0,Ecuador,-77.71666,0.58333,3200 m,Actinidiaceae,Saurauia,bullosa,Saurauia bullosa,Wawra,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=6701,,,,Árbol de 12.0 cm DAP y 12 m de alto. Tallo pubescente ferrugineo con espinas Hojas grandes asperas. Flores en dicasio Frutos en Bayas de 2 cm.,Árbol de 12.0 cm DAP y 12 m de alto. Tallo pubescente ferrugineo con espinas Hojas grandes asperas. Flores en dicasio Frutos en Bayas de 2 cm.
,7223,INABIOEC,Walter Armando Palacios Cuenca,1991-04-04,1991.0,4.0,4.0,Ecuador,-77.7,0.6,3200 m,Actinidiaceae,Saurauia,bullosa,Saurauia bullosa,Wawra,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=7223,,,,Árbol de 5 m de altura; 10 cm DAP. Yemas jóvenes de las hojas y envés de hojas jóvenes castaños. Pétalos blancos; estambres amarillos. Frutos comestibles. Nombre común: moquillo,Árbol de 5 m de altura; 10 cm DAP. Yemas jóvenes de las hojas y envés de hojas jóvenes castaños. Pétalos blancos; estambres amarillos. Frutos comestibles. Nombre común: moquillo
,7853,INABIOEC,Daniel Rubio,1990-08-08,1990.0,8.0,8.0,Ecuador,-78.0,0.33333,3500 m,Actinidiaceae,Saurauia,bullosa,Saurauia bullosa,Wawra,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=7853,,,,Árbolito de 5 m de altura; 8 cm DAP. Inflorescencia en botón verde oliva.,Árbolito de 5 m de altura; 8 cm DAP. Inflorescencia en botón verde oliva.
