0
Aphelandra acanthus
Saurauia brachybotrys
Saurauia bullosa
Saurauia herthae
Saurauia prainiana
Saurauia pseudostrigillosa
Saurauia tomentosa
Viburnum pichinchense
Viburnum triphyllum
Annona deceptrix
Annona mucosa
Annona quinduensis
Guatteria goudotiana
Guatteria pichinchae
Guatteria venosa
Rollinia mucosa
Rauvolfia leptophylla
Tabernaemontana markgrafiana
Ilex andicola
Xanthosoma sagittifolium
Dendropanax macrocarpus
Dendropanax macrophyllus
Oreopanax floribundus
Oreopanax grandifolius
Oreopanax palamophyllus
Schefflera sodiroi
Bactris gasipaes
Bactris macana
Ceroxylon echinulatum
Chamaedorea linearis
Chamaedorea poeppigiana
Geonoma densa
Geonoma undata
Geonoma weberbaueri
Iriartea deltoidea
Pholidostachys dactyloides
Phytelephas aequatorialis
Prestoea acuminata
Prestoea decurrens
Socratea montana
Socratea rostrata
Wettinia oxycarpa
Wettinia quinaria
Aequatorium jamesonii
Critoniopsis occidentalis
Dendrophorbium lloense
Dendrophorbium tipocochensis
Verbesina arborea
Verbesina brachypoda
Verbesina latisquama
Verbesina lloensis
Vernonanthura patens
Vernonia baccharoides
Vernonia patens
Delostoma integrifolium
Handroanthus chrysanthus
Tabebuia chrysantha
Cordia hebeclada
Tournefortia fuliginosa
Brunellia acostae
Brunellia comocladifolia
Brunellia tomentosa
Dacryodes cupularis
Protium ecuadorense
Lozanella enantiophylla
Trema integerrima
Trema micrantha
Citronella incarum
Carica microcarpa
Gymnosporia gentryi
Haydenia gentryi
Maytenus macrocarpa
Salacia cordata
Hedyosmum anisodorum
Hedyosmum cuatrecazanum
Hedyosmum cumbalense
Hedyosmum goudotianum
Hedyosmum goudotianum var. goudotianum
Hedyosmum luteynii
Hedyosmum scaberrimum
Hedyosmum scabrum
Hedyosmum toxicum
Hirtella mutisii
Licania durifolia
Cleome anomala
Clethra obovata
Clethra ovalifolia
Chrysochlamys colombiana
Chrysochlamys dependens
Clusia alata
Clusia crenata
Clusia dixonii
Clusia magnifolia
Clusia multiflora
Garcinia macrophylla
Garcinia madruno
Tovomita lingulata
Tovomita sphenophylla
Tovomita weddelliana
Cornus peruviana
Weinmannia auriculata
Weinmannia balbisiana
Weinmannia dryadifolia
Weinmannia laurina
Weinmannia laxiflora
Weinmannia lentiscifolia
Weinmannia ovata
Weinmannia pinnata
Alsophila cuspidata
Alsophila erinacea
Alsophila incana
Cyathea brachypoda
Cyathea brunnescens
Cyathea caracasana
Cyathea caracasana var. boliviensis
Cyathea corallifera
Cyathea cystolepis
Cyathea fulva
Cyathea halonata
Cyathea multiflora
Cyathea pallescens
Cyathea parvifolia
Cyathea squamipes
Cyathea tungurahuae
Sphaeropteris quindiuensis
Dicksonia sellowiana
Vallea stipularis
Cavendishia bracteata
Erythroxylum macrophyllum
Escallonia myrtilloides
Escallonia paniculata
Acalypha diversifolia
Alchornea bogotensis
Alchornea glandulosa
Alchornea grandis
Alchornea obovata
Alchornea sodiroi
Alchornea triplinervia
Croton floccosus
Croton tessmannii
Sapium biglandulosum
Sapium contortum
Sapium eglandulosum
Sapium glandulosum
Sapium laurifolium
Sapium marmieri
Sapium obtusilobum
Sapium pavonianum
Sapium solisii
Sapium stylare
Sapium utile
Tetrorchidium andinum
Tetrorchidium euryphyllum
Andira taurotesticulata
Brownea multijuga
Dussia lehmannii
Erythrina edulis
Inga acreana
Inga acrocephala
Inga acuminata
Inga alatocarpa
Inga chartacea
Inga cinnamomea
Inga coruscans
Inga densiflora
Inga fagifolia
Inga fendleriana
Inga glomeriflora
Inga lallensis
Inga laurina
Inga leiocalycina
Inga nobilis
Inga nobilis subsp. quaternata
Inga pruriens
Inga punctata
Inga quaternata
Inga ruiziana
Inga silanchensis
Inga spectabilis
Vismia lateriflora
Lozania mutisiana
Aegiphila aculeifera
Aegiphila alba
Aegiphila bogotensis
Aegiphila monticola
Aegiphila novogranatensis
Aniba magnifica
Beilschmiedia alloiophylla
Beilschmiedia costaricensis
Beilschmiedia pendula
Beilschmiedia tovarensis
Cinnamomum formicarium
Endlicheria formosa
Licaria applanata
Nectandra acutifolia
Nectandra laevis
Nectandra longifolia
Nectandra membranacea
Nectandra obtusata
Nectandra purpurea
Ocotea architectorum
Ocotea benthamiana
Ocotea caniflora
Ocotea cernua
Ocotea cuneifolia
Ocotea floccifera
Ocotea floribunda
Ocotea heterochroma
Ocotea insularis
Ocotea pacifica
Ocotea pichinchensis
Ocotea rugosa
Persea pseudofasciculata
Persea rigens
Pleurothyrium glabritepalum
Rhodostemonodaphne cyclops
Rhodostemonodaphne kunthiana
Eschweilera awaensis
Eschweilera caudiculata
Eschweilera rimbachii
Grias peruviana
Grias tessmannii
Grias theobromicarpa
Gustavia johnclarkii
Gaiadendron punctatum
Bunchosia argentea
Heliocarpus americanus
Heliocarpus popayanensis
Matisia castano
Matisia giacomettoi
Matisia grandifolia
Ochroma pyramidale
Spirotheca awadendron
Theobroma gileri
Trichospermum galeottii
Trichospermum mexicanum
Axinaea affinis
Axinaea floribunda
Axinaea lehmannii
Axinaea macrophylla
Axinaea quitensis
Blakea eriocalyx
Blakea rotundifolia
Brachyotum gleasonii
Conostegia centronioides
Conostegia montana
Graffenrieda cucullata
Henriettea verrucosa
Meriania maxima
Meriania tomentosa
Miconia brachycalyx
Miconia bracteolata
Miconia brevitheca
Miconia clathrantha
Miconia corymbiformis
Miconia dapsiliflora
Miconia explicita
Miconia goniostigma
Miconia gracilis
Miconia latifolia
Miconia ochracea
Miconia papillosa
Miconia punctata
Miconia rivetii
Miconia theaezans
Ossaea macrophylla
Ossaea micrantha
Cedrela montana
Guarea bullata
Guarea cartaguenya
Guarea glabra
Guarea grandifoliola
Guarea kunthiana
Guarea macrophylla
Guarea macrophylla subsp. pendulispica
Ruagea glabra
Ruagea pubescens
Ruagea tomentosa
Trichilia pallida
Trichilia primogenita
Brosimum guianense
Brosimum utile
Brosimum utile subsp. ovatifolium
Castilla elastica
Clarisia racemosa
Ficus americana
Ficus americana subsp. guianensis
Ficus brevibracteata
Ficus caldasiana
Ficus cervantesiana
Ficus citrifolia
Ficus cuatrecasasiana
Ficus dugandii
Ficus dulciaria
Ficus guianensis
Ficus macbridei
Ficus mathewsii
Ficus maxima
Ficus mutisii
Ficus subandina
Ficus tonduzii
Ficus trianae
Helicostylis tovarensis
Morus insignis
Naucleopsis capirensis
Naucleopsis naga
Poulsenia armata
Pseudolmedia gentryi
