Scientific_names
Acalypha diversifolia
Aegiphila novogranatensis
Alchornea grandis
Alchornea bogotensis
Alsophila  erinacea
Alsophila firma
Alsophila incana
Aniba magnifica
Beilschmiedia alloiophylla
Capparidastrum tafallanum
Cecropia obtusifolia
Chrysophyllum colombianum
Cordia hebeclada
Cyathea brachypoda
Cyathea multiflora
Cyathea squamipes
Eschweilera awaensis
Faramea calyptrata
Faramea occidentalis
Ficus caldasiana
Gloeospermum  grandifolium
Guatteria goudotiana
Guatteria microcarpa
Gustavia johnclarkii
Inga acrocephala
Inga acuminata
Inga ruiziana
Lozania mutisiana
Miconia gracilis
Miconia papillosa
Miconia punctata
Monnina obovata
Myrcia neesiana
Nectandra longifolia
Nectandra membranacea
Ocotea heterochroma
Palicourea apicata
Piper aequale
Pleurothyrium giganthum
Pseudolmedia gentryi
Psychotria hazenii
Sessea crassivenosa
Siparuna multiflora
Urera caracasana
Verbesina brachypoda
Zanthoxylum quinduense
Zanthoxylum verrucosum
