Scientific_names
Acalypha cf. diversifolia
Acalypha diversifolia
Aegiphila aculeifera
Aegiphila alba
Aegiphila bogotensis
Aegiphila cf.lopez-palacii var. pubescens
Aegiphila cf.novogranatensis
Aegiphila lopez-palacii var. pubescens
Aegiphila monticola
Aequatorium jamesonii
Agouticarpa williamsii
Aiouea formicaria
Aiouea palaciosii
Alchornea aff.grandis
Alchornea cf.bogotensis
Alchornea cf.triplinervia
Alchornea glandulosa
Alchornea triplinervia
Allophylus dodsonii
Allophylus excelsus
Allophylus floribundus
Alsophila cf. erinacea
Alsophila cf.firma
Alsophila cf.incana
Alsophila conjugata
Alsophila cuspidata
Alsophila erinacea
Andira taurotesticulata
Aniba cf.magnifica
Annona 1inECPI_MALO_01
Annona deceptrix
Annona mucosa
Annona quinduensis
Aphelandra acanthus
Ardisia 1inECPI_BECL_03
Ardisia 1inECPI_MALO_01
Ardisia 1inECPI_MIND_01
Ardisia 2inECPI_MIND_01
Ardisia ambigua
Ardisia sp. 1
Axinaea lehmannii
Axinaea macrophylla
Axinaea quitensis
Bactris gasipaes var.chichagui
Banara 1inECPI_VERD_02
Banara glauca
Banara regia
Beilschmiedia cf.alloiophylla
Beilschmiedia cf.tovarensis
Beilschmiedia pendula
Beilschmiedia tovarensis
Bellucia 1inECPI_MALO_02
Billia rosea
Blakea 1inECPI_MALO_02
Blakea eriocalyx
Blakea rotundifolia
Blakea sp. 2
Boehmeria caudata
Boehmeria fallax
Brachyotum gleasonii
Brosimum guianense
Brosimum utile subsp.occidentale
Brownea multijuga
Browneopsis macrofoliolata
Brunellia acostae
Brunellia comocladifolia
Brunellia tomentosa
Bunchosia argentea
Calatola costaricensis
Calyptranthes 1inECPI_MALO_01
Calyptranthes sp. 2
Capparidastrum cf.tafallanum
Carapa alticola
Carapa megistocarpa
Carica microcarpa
Casearia arborea
Casearia cajambrensis
Casearia quinduensis
Casearia sylvestris
Castilla elastica
Cavendishia bracteata
Cecropia bullata
Cecropia cf.gabrielis
Cecropia cf.obtusifolia
Cecropia gabrielis
Cecropia hispidissima
Cedrela montana
Ceroxylon echinulatum
Cestrum cf.humboldtii
Cestrum humboldtii
Cestrum jaramillanum
Cestrum megalophyllum
Cestrum petiolare
Chamaedorea linearis
Chrysochlamys 1inECPI_INTI_01
Chrysochlamys 1inECPI_INTI_02
Chrysochlamys cf.dependens
Chrysochlamys colombiana
Chrysochlamys dependens
Chrysophyllum 1inECPI_MALO_01
Chrysophyllum cf.colombianum
Cinchona pubescens
Cinchona succirubra
Cinnamomum 1inECPI_MIND_01
Citharexylum montanum
Citharexylum montanum var.chimborazense
Citronella ilicifolia
Citronella incarum
Citrus 1inECPI_RIBR_01
Clarisia racemosa
Clavija laplanadae
Cleome anomala
Clethra obovata
Clethra ovalifolia
Clusia 1inECPI_INTI_02
Clusia aff.alata
Clusia aff.multiflora
Clusia alata
Clusia crenata
Clusia dixonii
Clusia magnifolia
Clusia multiflora
Coccoloba cf.obovata
Coccoloba obovata
Compsoneura mutisii
Conostegia 1inECPI_MALO_01
Conostegia 1inECPI_MAPI_01
Conostegia 1inECPI_MAPI_02
Conostegia centronioides var.centronioides
Conostegia montana
Cordia 1inECPI_INTI_01
Cordia 1inECPI_INTI_02
Cordia 1inECPI_MALO_01
Cordia 1inECPI_MALO_02
Cordia 1inECPI_MIND_01
Cordia 2inECPI_MALO_01
Cordia 2inECPI_MALO_02
Cordia 3inECPI_MALO_01
Cordia 4inECPI_MALO_01
Cordia cf.hebeclada
Cordiera longicaudata
Cornus disciflora
Cornus peruviana
Coussapoa contorta
Coussapoa herthae
Coussarea latifolia
Critoniopsis 1inECPI_VERD_01
Critoniopsis 1inECPI_VERD_03
Critoniopsis occidentalis
Croton floccosus
Croton tessmannii
Cuatresia cuspidata
Cupania cinerea
Cupania livida
Cyathea 1inECPI_INTI_01
Cyathea 1inECPI_INTI_02
Cyathea 1inECPI_RIBR_01
Cyathea 1inECPI_VERD_01
Cyathea 1inECPI_VERD_02
Cyathea 1inECPI_YANA_01
Cyathea 2inECPI_RIBR_01
Cyathea 2inECPI_VERD_02
Cyathea brunnescens
Cyathea caracasana
Cyathea catacampta
Cyathea cf.brachypoda
Cyathea cf.catacampta
Cyathea cf.multiflora
Cyathea cf.pallescens
Cyathea cf.squamipes
Cyathea corallifera
Cyathea pallescens
Cyathea sp. 1
Cyathea sp. 2
Cyathea sp. 3
Cybianthus humilis
Dacryodes cupularis
Daphnopsis equatorialis
Delostoma integrifolium
Dendropanax macrocarpus
Dendropanax macrophyllus
Dendrophorbium lloense
Dendrophorbium tipocochensis
Dicksonia sellowiana
Discophora guianensis
Duroia laevis
Dussia lehmannii
Elaeagia utilis
Endlicheria 1inECPI_CEDR_03
Endlicheria formosa
Erythrina edulis
Erythroxylum macrophyllum
Escallonia myrtilloides
Escallonia paniculata
Eschweilera caudiculata
Eschweilera cf.awaensis
Eschweilera rimbachii
Eugenia 1inECPI_MALO_01
Eugenia cf.florida
Eugenia crassimarginata
Eugenia florida
Faramea 1inECPI_RIBR_01
Faramea ampla
Faramea calyptrata
Faramea cf. calyptrata
Faramea cf.langlassei
Faramea cf.occidentalis
Faramea langlassei
Faramea oblongifolia
Faramea parvibractea
Faramea sp. 2
Ficus 1inECPI_MAPI_02
Ficus americana subsp.guianensis
Ficus brevibracteata
Ficus cervantesiana
Ficus cf.caldasiana
Ficus cf.citrifolia
Ficus citrifolia
Ficus cuatrecasasiana
Ficus dulciaria
Ficus lacunata
Ficus macbridei
Ficus maxima
Ficus mutisii
Ficus sp. 2
Ficus tonduzii
Ficus trianae
Freziera canescens
Freziera reticulata
Freziera verrucosa
Gaiadendron punctatum
Garcinia macrophylla
Garcinia madruno
Geissanthus ambigua
Geissanthus andinus
Geissanthus cf.longistamineus
Geissanthus longistamineus
Geissanthus pichinchae
Geonoma undata
Gloeospermum aff. grandifolium
Gordonia fruticosa
Graffenrieda 1inECPI_BECL_03
Graffenrieda 1inECPI_MALO_01
Graffenrieda cucullata
Grias peruviana
Grias theobromicarpa
Guapira opposita
Guarea cartaguenya
Guarea glabra
Guarea kunthiana
Guarea macrophylla
Guatteria 3inECPI_MAPI_02
Guatteria 4inECPI_MAPI_02
Guatteria cf.goudotiana
Guatteria cf.microcarpa
Guatteria pichinchae
Guatteria venosa
