Scientific_names
Acalypha diversifolia
Aegiphila aculeifera
Aegiphila alba
Aegiphila bogotensis
Aegiphila lopez-palacii var. pubescens
Aegiphila novogranatensis
Aegiphila monticola
Aequatorium jamesonii
Agouticarpa williamsii
Aiouea formicaria
Aiouea palaciosii
Alchornea grandis
Alchornea bogotensis
Alchornea triplinervia
Alchornea glandulosa
Allophylus dodsonii
Allophylus excelsus
Allophylus floribundus
Alsophila erinacea
Alsophila firma
Alsophila incana
Alsophila conjugata
Alsophila cuspidata
Andira taurotesticulata
Aniba magnifica
Annona deceptrix
Annona mucosa
Annona quinduensis
Aphelandra acanthus
Axinaea lehmannii
Axinaea macrophylla
Axinaea quitensis
Bactris gasipaes var. chichagui
Banara glauca
Banara regia
Beilschmiedia alloiophylla
Beilschmiedia tovarensis
Beilschmiedia pendula
Billia rosea
Blakea eriocalyx
Blakea rotundifolia
Boehmeria caudata
Boehmeria fallax
Brachyotum gleasonii
Brosimum guianense
Brosimum utile subsp. occidentale
Brownea multijuga
Browneopsis macrofoliolata
Brunellia acostae
Brunellia comocladifolia
Brunellia tomentosa
Bunchosia argentea
Calatola costaricensis
Capparidastrum tafallanum
Carapa alticola
Carapa megistocarpa
Carica microcarpa
Casearia arborea
Casearia cajambrensis
Casearia quinduensis
Casearia sylvestris
Castilla elastica
Cavendishia bracteata
Cecropia bullata
Cecropia gabrielis
Cecropia obtusifolia
Cecropia hispidissima
Cedrela montana
Ceroxylon echinulatum
Cestrum humboldtii
Cestrum jaramillanum
Cestrum megalophyllum
Cestrum petiolare
Chamaedorea linearis
Chrysochlamys dependens
Chrysochlamys colombiana
Chrysophyllum colombianum
Cinchona pubescens
Citharexylum montanum
Citharexylum montanum var. chimborazense
Citronella ilicifolia
Citronella incarum
Clarisia racemosa
Clavija laplanadae
Cleome anomala
Clethra obovata
Clethra ovalifolia
Clusia alata
Clusia multiflora
Clusia crenata
Clusia dixonii
Clusia magnifolia
Coccoloba obovata
Compsoneura mutisii
Conostegia centronioides var. centronioides
Conostegia montana
Cordia hebeclada
Cordiera longicaudata
Cornus disciflora
Cornus peruviana
Coussapoa contorta
Coussapoa herthae
Coussarea latifolia
Critoniopsis occidentalis
Croton floccosus
Croton tessmannii
Cuatresia cuspidata
Cupania cinerea
Cupania livida
Cyathea brunnescens
Cyathea caracasana
Cyathea catacampta
Cyathea multiflora
Cyathea pallescens
Cyathea corallifera
Cybianthus humilis
Dacryodes cupularis
Daphnopsis equatorialis
Delostoma integrifolium
Dendropanax macrocarpus
Dendropanax macrophyllus
Dendrophorbium lloense
Dendrophorbium tipocochensis
Dicksonia sellowiana
Discophora guianensis
Duroia laevis
Dussia lehmannii
Elaeagia utilis
Endlicheria formosa
Erythrina edulis
Erythroxylum macrophyllum
Escallonia myrtilloides
Escallonia paniculata
Eschweilera caudiculata
Eschweilera awaensis
Eschweilera rimbachii
Eugenia florida
Eugenia crassimarginata
Faramea ampla
Faramea calyptrata
Faramea langlassei
Faramea occidentalis
Faramea oblongifolia
Faramea parvibractea
Ficus americana subsp. guianensis
Ficus brevibracteata
Ficus cervantesiana
Ficus caldasiana
Ficus citrifolia
Ficus cuatrecasasiana
Ficus dulciaria
Ficus lacunata
Ficus macbridei
Ficus maxima
Ficus mutisii
Ficus tonduzii
Ficus trianae
Freziera canescens
Freziera reticulata
Freziera verrucosa
Gaiadendron punctatum
Garcinia macrophylla
Garcinia madruno
Geissanthus ambigua
Geissanthus andinus
Geissanthus longistamineus
Geissanthus pichinchae
Geonoma undata
Gloeospermum grandifolium
Gordonia fruticosa
Graffenrieda cucullata
Grias peruviana
Grias theobromicarpa
Guapira opposita
Guarea cartaguenya
Guarea glabra
Guarea kunthiana
Guarea macrophylla
Guatteria goudotiana
Guatteria microcarpa
Guatteria pichinchae
Guatteria venosa
Guettarda sanblasensis
Gustavia johnclarkii
Handroanthus chrysanthus
Haydenoxylon gentryi
Hedyosmum anisodorum
Hedyosmum cuatrecazanum
Hedyosmum cumbalense
Hedyosmum goudotianum var. goudotianum
Hedyosmum luteynii
Hedyosmum scaberrimum
Hedyosmum scabrum
Heisteria asplundii
Heisteria pacifica
Helicostylis tovarensis
Heliocarpus americanus
Henriettea verrucosa
Hieronyma asperifolia
Hieronyma duquei
Hieronyma macrocarpa
Hieronyma oblonga
Hippotis scarlatina
Hirtella mutisii
Huertea glandulosa
Idiopappus saloyensis
Ilex andicola
Ilex pernervata
Inga acreana
Inga laurina
Inga alatocarpa
Inga carinata
Inga acrocephala
Inga acuminata
Inga lallensis
Inga ruiziana
Inga silanchensis
Inga chartacea
Inga cinnamomea
Inga coruscans
Inga densiflora
Inga fendleriana
Inga glomeriflora
Inga leiocalycina
Inga multicaulis
Inga nobilis subsp. quaternata
Inga pruriens
Inga punctata
Inga spectabilis
Iochroma calycinum
Iriartea deltoidea
Jacaratia chocoensis
Juglans neotropica
Licania durifolia
Licania megalophylla
Licaria applanata
Lozanella enantiophylla
Lozania mutisiana
Magnolia mashpi
Matisia castano
Matisia giacomettoi
Matisia grandifolia
Maytenus macrocarpa
Meliosma arenosa
Meliosma occidentalis
Meliosma echeverryana
Meliosma frondosa
Meliosma peytonii
Meliosma vasquezii
Meliosma violacea
Meriania maxima
Meriania pichinchensis
Meriania tomentosa
Miconia brevitheca
Miconia brachycalyx
Miconia bracteolata
Miconia clathrantha
Miconia gracilis
Miconia papillosa
Miconia punctata
Miconia theaezans
Miconia corymbiformis
Miconia dapsiliflora
Miconia explicita
Miconia goniostigma
Miconia latifolia
Miconia ochracea
Miconia rivetii
Monnina obovata
Monnina pseudopilosa
Morus insignis
Myrcia neesiana
Myrcia splendens
Myrcianthes hallii
Myrcianthes orthostemon
Myrcianthes rhopaloides
Myriocarpa stipitata
Myrsine andina
Myrsine coriacea
Naucleopsis capirensis
Naucleopsis chiguila
Naucleopsis naga
Nectandra acutifolia
Nectandra longifolia
Nectandra membranacea
Nectandra purpurea
Nectandra subbullata
Nectandra obtusata
Ochroma pyramidale
Ocotea benthamiana
Ocotea cernua
Ocotea floribunda
Ocotea heterochroma
Ocotea pacifica
Ocotea pichinchensis
Ocotea cuneifolia
Ocotea insularis
Ocotea oreophila
Ocotea pedanomischa
Ocotea rugosa
Oreopanax ecuadorensis
Oreopanax floribundus
Oreopanax grandifolius
Oreopanax palamophyllus
