Scientific_names,Number_of_synonyms,,
Acalypha diversifolia,28,,
Aegiphila aculeifera,0,,
Aegiphila alba,0,,
Aegiphila bogotensis,1,,
Aegiphila lopez-palacii var. pubescens,0,,
Aegiphila novogranatensis,0,,
Aegiphila monticola,0,,
Aequatorium jamesonii,7,,
Agouticarpa williamsii,1,,
Aiouea formicaria,1,,
Aiouea palaciosii,1,,
Alchornea grandis,0,,
Alchornea bogotensis,0,,
Alchornea triplinervia,32,,
Alchornea glandulosa,9,,
Allophylus dodsonii,0,,
Allophylus excelsus,1,,
Allophylus floribundus,2,,
Alsophila erinacea,6,,
Alsophila firma,13,,
Alsophila incana,4,,
Alsophila conjugata,0,,
Alsophila cuspidata,7,,
Andira taurotesticulata,0,,
Aniba magnifica,0,,
Annona deceptrix,1,,
Annona mucosa,27,141,17
Annona quinduensis,0,,
Aphelandra acanthus,2,,
Axinaea lehmannii,0,,
Axinaea macrophylla,4,,
Axinaea quitensis,0,,
Bactris gasipaes var. chichagui,0,,
Banara glauca,1,,
Banara regia,1,,
Beilschmiedia alloiophylla,1,,
Beilschmiedia tovarensis,3,,
Beilschmiedia pendula,7,,
Billia rosea,3,,
Blakea eriocalyx,0,,
Blakea rotundifolia,1,,
Boehmeria caudata,0,,
Boehmeria fallax,1,,
Brachyotum gleasonii,0,,
Brosimum guianense,17,,
Brosimum utile subsp. occidentale,0,,
Brownea multijuga,1,,
Browneopsis macrofoliolata,0,,
Brunellia acostae,2,,
Brunellia comocladifolia,0,,
Brunellia tomentosa,0,,
Bunchosia argentea,1,,
Calatola costaricensis,3,,
Capparidastrum tafallanum,0,,
Carapa alticola,0,,
Carapa megistocarpa,0,,
Carica microcarpa,5,,
Casearia arborea,25,,
Casearia cajambrensis,0,,
Casearia quinduensis,0,,
Casearia sylvestris,44,,
Castilla elastica,8,,
Cavendishia bracteata,88,,
Cecropia bullata,0,,
Cecropia gabrielis,2,,
Cecropia obtusifolia,21,,
Cecropia hispidissima,0,,
Cedrela montana,5,,
Ceroxylon echinulatum,0,,
Cestrum humboldtii,3,,
Cestrum jaramillanum,0,,
Cestrum megalophyllum,5,,
Cestrum petiolare,5,,
Chamaedorea linearis,28,304,23
Chrysochlamys dependens,1,,
Chrysochlamys colombiana,1,,
Chrysophyllum colombianum,1,,
Cinchona pubescens,64,,
Citharexylum montanum,0,,
Citharexylum montanum var. chimborazense,0,,
Citronella ilicifolia,2,,
Citronella incarum,2,,
Clarisia racemosa,4,,
Clavija laplanadae,0,,
Cleome anomala,0,,
Clethra obovata,6,,
Clethra ovalifolia,1,,
Clusia alata,0,,
Clusia multiflora,0,,
Clusia crenata,0,,
Clusia dixonii,0,,
Clusia magnifolia,0,,
Coccoloba obovata,3,,
Compsoneura mutisii,0,,
Conostegia centronioides var. centronioides,0,,
Conostegia montana,7,,
Cordia hebeclada,1,,
Cordiera longicaudata,0,,
Cornus disciflora,7,,
Cornus peruviana,3,,
Coussapoa contorta,0,,
Coussapoa herthae,0,,
Coussarea latifolia,0,,
Critoniopsis occidentalis,1,,
Croton floccosus,0,,
Croton tessmannii,0,,
Cuatresia cuspidata,0,,
Cupania cinerea,3,,
Cupania livida,1,,
Cyathea brunnescens,2,,
Cyathea caracasana,10,,
Cyathea catacampta,0,,
Cyathea multiflora,13,,
Cyathea pallescens,15,,
Cyathea corallifera,4,,
Cybianthus humilis,3,,
Dacryodes cupularis,0,,
Daphnopsis equatorialis,0,,
Delostoma integrifolium,9,,
Dendropanax macrocarpus,0,,
Dendropanax macrophyllus,0,,
Dendrophorbium lloense,1,,
Dendrophorbium tipocochensis,1,,
Dicksonia sellowiana,12,,
Discophora guianensis,4,,
Duroia laevis,0,,
Dussia lehmannii,0,,
Elaeagia utilis,2,,
Endlicheria formosa,0,,
Erythrina edulis,0,,
Erythroxylum macrophyllum,12,,
Escallonia myrtilloides,13,,
Escallonia paniculata,6,,
Eschweilera caudiculata,1,,
Eschweilera awaensis,0,,
Eschweilera rimbachii,0,,
Eugenia florida,21,,
Eugenia crassimarginata,0,,
Faramea ampla,0,,
Faramea calyptrata,0,,
Faramea langlassei,0,,
Faramea occidentalis,18,,
Faramea oblongifolia,1,,
Faramea parvibractea,0,,
Ficus americana subsp. guianensis,0,,
Ficus brevibracteata,0,,
Ficus cervantesiana,0,,
Ficus caldasiana,0,,
Ficus citrifolia,60,339,58
