Scientific_names
Acalypha diversifolia
Aegiphila aculeifera
Aegiphila alba
Aegiphila bogotensis
Aegiphila lopez-palacii var. pubescens
Aegiphila novogranatensis
Aegiphila monticola
Aequatorium jamesonii
Agouticarpa williamsii
Aiouea formicaria
Aiouea palaciosii
Alchornea grandis
Alchornea bogotensis
Alchornea triplinervia
Alchornea glandulosa
Allophylus dodsonii
Allophylus excelsus
Allophylus floribundus
Alsophila erinacea
Alsophila firma
Alsophila incana
Alsophila conjugata
Alsophila cuspidata
Andira taurotesticulata
Aniba magnifica
Annona deceptrix
Annona mucosa
Annona quinduensis
Aphelandra acanthus
Ardisia ambigua
Axinaea lehmannii
Axinaea macrophylla
Axinaea quitensis
Bactris gasipaes var. chichagui
Banara glauca
Banara regia
Beilschmiedia alloiophylla
Beilschmiedia tovarensis
Beilschmiedia pendula
Billia rosea
Blakea eriocalyx
Blakea rotundifolia
Boehmeria caudata
Boehmeria fallax
Brachyotum gleasonii
Brosimum guianense
Brosimum utile subsp. occidentale
Brownea multijuga
Browneopsis macrofoliolata
Brunellia acostae
