"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","selected","unique_id"
"1","Acalypha diversifolia","1","175265","Acalypha diversifolia","1","species","","","","Jacq.","Euphorbiaceae","Acalypha","Acalypha","1","diversifolia","diversifolia","1","","","","","","","","","","","","http://www.tropicos.org/Name/12802425","","Y","Accepted","Acalypha diversifolia","Acalypha diversifolia","Jacq.","175265","species","http://www.tropicos.org/Name/12802425","","Euphorbiaceae","1","1","tropicos","",true,0
"2","Aegiphila aculeifera","1","527451","Aegiphila aculeifera","1","species","","","","Moldenke","Lamiaceae","Aegiphila","Aegiphila","1","aculeifera","aculeifera","1","","","","","","","","","","","","http://www.tropicos.org/Name/33700048","","Y","Accepted","Aegiphila aculeifera","Aegiphila aculeifera","Moldenke","527451","species","http://www.tropicos.org/Name/33700048","","Lamiaceae","1","1","tropicos","",true,2
"3","Aegiphila alba","1","529736","Aegiphila alba","1","species","","","","Moldenke","Lamiaceae","Aegiphila","Aegiphila","1","alba","alba","1","","","","","","","","","","","","http://www.tropicos.org/Name/33702735","","Y","Accepted","Aegiphila alba","Aegiphila alba","Moldenke","529736","species","http://www.tropicos.org/Name/33702735","","Lamiaceae","1","1","tropicos","",true,3
"4","Aegiphila bogotensis","1","529543","Aegiphila bogotensis","1","species","","","","(Spreng.) Moldenke","Lamiaceae","Aegiphila","Aegiphila","1","bogotensis","bogotensis","1","","","","","","","","","","","","http://www.tropicos.org/Name/33702539","","Y","Accepted","Aegiphila bogotensis","Aegiphila bogotensis","(Spreng.) Moldenke","529543","species","http://www.tropicos.org/Name/33702539","","Lamiaceae","1","1","tropicos","",true,4
"5","Aegiphila lopez-palacii var. pubescens","1","530193","Aegiphila lopez-palacii var. pubescens","1","variety","","","","Moldenke","Lamiaceae","Aegiphila","Aegiphila","1","lopez-palacii","lopez-palacii","1","","","","var.","pubescens","1","","","","","","http://www.tropicos.org/Name/33703210","","Y","Accepted","Aegiphila lopez-palacii var. pubescens","Aegiphila lopez-palacii","Moldenke","530193","variety","http://www.tropicos.org/Name/33703210","","Lamiaceae","1","1","tropicos","",true,5
"6","Aegiphila novogranatensis","1","529438","Aegiphila novogranatensis","1","species","","","","Moldenke","Lamiaceae","Aegiphila","Aegiphila","1","novogranatensis","novogranatensis","1","","","","","","","","","","","","http://www.tropicos.org/Name/33702428","","Y","Accepted","Aegiphila novogranatensis","Aegiphila novogranatensis","Moldenke","529438","species","http://www.tropicos.org/Name/33702428","","Lamiaceae","1","1","tropicos","",true,6
"7","Aegiphila monticola","1","529862","Aegiphila monticola","1","species","","","","Moldenke","Lamiaceae","Aegiphila","Aegiphila","1","monticola","monticola","1","","","","","","","","","","","","http://www.tropicos.org/Name/33702865","","Y","Accepted","Aegiphila monticola","Aegiphila monticola","Moldenke","529862","species","http://www.tropicos.org/Name/33702865","","Lamiaceae","1","1","tropicos","",true,7
"8","Aequatorium jamesonii","1","726703","Aequatorium jamesonii","1","species","","","","(S.F. Blake) C. Jeffrey","Asteraceae","Aequatorium","Aequatorium","1","jamesonii","jamesonii","1","","","","","","","","","","","","http://www.tropicos.org/Name/50043102","","Y","Accepted","Aequatorium jamesonii","Aequatorium jamesonii","(S.F. Blake) C. Jeffrey","726703","species","http://www.tropicos.org/Name/50043102","","Asteraceae","1","1","tropicos","",true,8
"9","Agouticarpa williamsii","1","914285","Agouticarpa williamsii","1","species","","","","(Standl.) C.H. Perss.","Rubiaceae","Agouticarpa","Agouticarpa","1","williamsii","williamsii","1","","","","","","","","","","","","http://www.tropicos.org/Name/50235939","","Y","Accepted","Agouticarpa williamsii","Agouticarpa williamsii","(Standl.) C.H. Perss.","914285","species","http://www.tropicos.org/Name/50235939","","Rubiaceae","1","1","tropicos","",true,9
"10","Aiouea formicaria","1","1315219","Aiouea formicaria","1","species","","","","(van der Werff & Lorea-Hern.) R. Rohde","Lauraceae","Aiouea","Aiouea","1","formicaria","formicaria","1","","","","","","","","","","","","http://www.tropicos.org/Name/100469877","","Y","Accepted","Aiouea formicaria","Aiouea formicaria","(van der Werff & Lorea-Hern.) R. Rohde","1315219","species","http://www.tropicos.org/Name/100469877","","Lauraceae","1","1","tropicos","",true,10
"11","Aiouea palaciosii","1","1315203","Aiouea palaciosii","1","species","","","","(van der Werff) R. Rohde","Lauraceae","Aiouea","Aiouea","1","palaciosii","palaciosii","1","","","","","","","","","","","","http://www.tropicos.org/Name/100469861","","Y","Accepted","Aiouea palaciosii","Aiouea palaciosii","(van der Werff) R. Rohde","1315203","species","http://www.tropicos.org/Name/100469861","","Lauraceae","1","1","tropicos","",true,11
"12","Alchornea grandis","1","175361","Alchornea grandis","1","species","","","","Benth.","Euphorbiaceae","Alchornea","Alchornea","1","grandis","grandis","1","","","","","","","","","","","","http://www.tropicos.org/Name/12802523","","Y","Accepted","Alchornea grandis","Alchornea grandis","Benth.","175361","species","http://www.tropicos.org/Name/12802523","","Euphorbiaceae","1","1","tropicos","",true,12
"13","Alchornea bogotensis","1","173574","Alchornea bogotensis","1","species","","","","Pax & K. Hoffm.","Euphorbiaceae","Alchornea","Alchornea","1","bogotensis","bogotensis","1","","","","","","","","","","","","http://www.tropicos.org/Name/12800682","","Y","Accepted","Alchornea bogotensis","Alchornea bogotensis","Pax & K. Hoffm.","173574","species","http://www.tropicos.org/Name/12800682","","Euphorbiaceae","1","1","tropicos","",true,13
"14","Alchornea triplinervia","1","173592","Alchornea triplinervia","1","species","","","","(Spreng.) MÃ¼ll. Arg.","Euphorbiaceae","Alchornea","Alchornea","1","triplinervia","triplinervia","1","","","","","","","","","","","","http://www.tropicos.org/Name/12800700","","Y","Accepted","Alchornea triplinervia","Alchornea triplinervia","(Spreng.) MÃ¼ll. Arg.","173592","species","http://www.tropicos.org/Name/12800700","","Euphorbiaceae","1","1","tropicos","",true,14
"15","Alchornea glandulosa","1","173581","Alchornea glandulosa","1","species","","","","Poepp.","Euphorbiaceae","Alchornea","Alchornea","1","glandulosa","glandulosa","1","","","","","","","","","","","","http://www.tropicos.org/Name/12800689","","Y","Accepted","Alchornea glandulosa","Alchornea glandulosa","Poepp.","173581","species","http://www.tropicos.org/Name/12800689","","Euphorbiaceae","1","1","tropicos","",true,15
"16","Allophylus dodsonii","1","497387","Allophylus dodsonii","1","species","","","","A.H. Gentry","Sapindaceae","Allophylus","Allophylus","1","dodsonii","dodsonii","1","","","","","","","","","","","","http://www.tropicos.org/Name/28601508","","Y","Accepted","Allophylus dodsonii","Allophylus dodsonii","A.H. Gentry","497387","species","http://www.tropicos.org/Name/28601508","","Sapindaceae","1","1","tropicos","",true,17
"17","Allophylus excelsus","1","495969","Allophylus excelsus","1","species","","","","(Triana & Planch.) Radlk.","Sapindaceae","Allophylus","Allophylus","1","excelsus","excelsus","1","","","","","","","","","","","","http://www.tropicos.org/Name/28600052","","Y","Accepted","Allophylus excelsus","Allophylus excelsus","(Triana & Planch.) Radlk.","495969","species","http://www.tropicos.org/Name/28600052","","Sapindaceae","1","1","tropicos","",true,18
"18","Allophylus floribundus","1","496586","Allophylus floribundus","1","species","","","","(Poepp.) Radlk.","Sapindaceae","Allophylus","Allophylus","1","floribundus","floribundus","1","","","","","","","","","","","","http://www.tropicos.org/Name/28600685","","Y","Accepted","Allophylus floribundus","Allophylus floribundus","(Poepp.) Radlk.","496586","species","http://www.tropicos.org/Name/28600685","","Sapindaceae","1","1","tropicos","",true,19
"19","Alsophila erinacea","1","443665","Alsophila erinacea","1","species","","","","(H. Karst.) D.S. Conant","Cyatheaceae","Alsophila","Alsophila","1","erinacea","erinacea","1","","","","","","","","","","","","http://www.tropicos.org/Name/26606637","","Y","Accepted","Alsophila erinacea","Alsophila erinacea","(H. Karst.) D.S. Conant","443665","species","http://www.tropicos.org/Name/26606637","","Cyatheaceae","1","1","tropicos","",true,20
"20","Alsophila firma","1","445817","Alsophila firma","1","species","","","","(Baker) D.S. Conant","Cyatheaceae","Alsophila","Alsophila","1","firma","firma","1","","","","","","","","","","","","http://www.tropicos.org/Name/26608813","","Y","Accepted","Alsophila firma","Alsophila firma","(Baker) D.S. Conant","445817","species","http://www.tropicos.org/Name/26608813","","Cyatheaceae","1","1","tropicos","",true,21
"21","Alsophila incana","1","443674","Alsophila incana","1","species","","","","(H. Karst.) D.S. Conant","Cyatheaceae","Alsophila","Alsophila","1","incana","incana","1","","","","","","","","","","","","http://www.tropicos.org/Name/26606646","","Y","Accepted","Alsophila incana","Alsophila incana","(H. Karst.) D.S. Conant","443674","species","http://www.tropicos.org/Name/26606646","","Cyatheaceae","1","1","tropicos","",true,22
