Placa,Pais,Plot,Site,Provincia,Nro_Plot,Altitud_plot,Latitud_plot,Longitud_plot,Family,Genus,Species,Scientific_name,POM,IND3,DAP3,HT3,Code3,BA3,Year3,code notes names
100,Ecuador,ECPI_INTI_01,Intillacta,Pichincha,1,1879,0.050588533,-78.72329779,Boraginaceae,Cordia,1inECPI_INTI_01,Cordia 1inECPI_INTI_01,1.3,1,17.7,14.63531062,,0.024605739,2019,Genus id number plot
101,Ecuador,ECPI_INTI_01,Intillacta,Pichincha,1,1879,0.050588533,-78.72329779,Melastomataceae,Meriania,maxima,Meriania maxima,1.7,1,25,18.03321678,,0.049087385,2019,ID_spp
102,Ecuador,ECPI_INTI_01,Intillacta,Pichincha,1,1879,0.050588533,-78.72329779,Boraginaceae,Cordia,1inECPI_INTI_01,Cordia 1inECPI_INTI_01,1.3,1,11.6,10.92730594,,0.010568318,2019,Genus id number plot
103,Ecuador,ECPI_INTI_01,Intillacta,Pichincha,1,1879,0.050588533,-78.72329779,Chloranthaceae,Hedyosmum,cuatrecazanum,Hedyosmum cuatrecazanum,1.3,1,15.7,13.52363257,,0.019359279,2019,ID_spp
104,Ecuador,ECPI_INTI_01,Intillacta,Pichincha,1,1879,0.050588533,-78.72329779,Chloranthaceae,Hedyosmum,cuatrecazanum,Hedyosmum cuatrecazanum,1.3,0,,,K,0,2019,ID_spp
105,Ecuador,ECPI_INTI_01,Intillacta,Pichincha,1,1879,0.050588533,-78.72329779,Asteraceae,Critoniopsis,occidentalis,Critoniopsis occidentalis,1.3,1,8.5,8.616953317,,0.005674502,2019,ID_spp
106,Ecuador,ECPI_INTI_01,Intillacta,Pichincha,1,1879,0.050588533,-78.72329779,Boraginaceae,Cordia,1inECPI_INTI_01,Cordia 1inECPI_INTI_01,1.5,1,24.9,17.9925394,,0.048695472,2019,Genus id number plot
107,Ecuador,ECPI_INTI_01,Intillacta,Pichincha,1,1879,0.050588533,-78.72329779,Cyatheaceae,Cyathea,corallifera,Cyathea corallifera,1.3,1,18.7,15.158389,,0.027464588,2019,ID_spp
108,Ecuador,ECPI_INTI_01,Intillacta,Pichincha,1,1879,0.050588533,-78.72329779,Arecaceae,Prestoea,acuminata,Prestoea acuminata,1.3,1,8.7,8.776577017,,0.005944679,2019,ID_spp
109.1,Ecuador,ECPI_INTI_01,Intillacta,Pichincha,1,1879,0.050588533,-78.72329779,Piperaceae,Piper,cf.obliquum,Piper cf.obliquum,1.3,1,6.2,6.661770833,,0.003019071,2019,cf
